Instrument Type,Symbol,ExpiryDate,Underlying Commodity,Strike Price,Option Type,Ex-Basis Delivery Centre,Price Unit,Opening Price,High Price,Low Price,Closing Price,Quantity Traded Today,Measure,No of Trades,Traded Value in Lacs,Open Interest,LastTradedDate
FUTCOM,AGRIDEX,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,1465.05,1483,1465.05,1474.95,NA,NA,NA,NA,NA,NA
FUTCOM,GUAREXNEAR,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,4969,5071.2,4954.7,5046,NA,NA,NA,NA,NA,NA
FUTCOM,GUAREXMID,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,5035.8,5141,5033.9,5112,NA,NA,NA,NA,NA,NA
FUTCOM,GUAREXFAR,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,0,5178,0,5178,NA,NA,NA,NA,NA,NA
FUTCOM,SOYDEXNEAR,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,6789.6,6963,6789.6,6886.5,NA,NA,NA,NA,NA,NA
FUTCOM,SOYDEXMID,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,6502.1,6597.5,6468.4,6556,NA,NA,NA,NA,NA,NA
FUTCOM,SOYDEXFAR,7/19/2021,NCDEX FUTURE INDEX,0,XX,NA,NA,5780.3,5815.3,5710.3,5740.1,NA,NA,NA,NA,NA,NA
FUTCOM,BAJRA,7/20/2021,BAJRA,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1451,0,MT,0,0,0,NOTRADE
FUTCOM,BAJRA,8/20/2021,BAJRA,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1455,0,MT,0,0,0,NOTRADE
FUTCOM,BAJRA,9/20/2021,BAJRA,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1460,0,MT,0,0,0,NOTRADE
FUTCOM,BAJRA,10/20/2021,BAJRA,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1464,0,MT,0,0,0,NOTRADE
FUTCOM,BAJRA,11/18/2021,BAJRA,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1468,0,MT,0,0,0,NOTRADE
FUTCOM,BARLEYJPR,7/20/2021,BARLEY,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1885.5,0,MT,0,0,0,NOTRADE
FUTCOM,BARLEYJPR,8/20/2021,BARLEY,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1891.5,0,MT,0,0,0,NOTRADE
FUTCOM,BARLEYJPR,9/20/2021,BARLEY,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1897,0,MT,0,0,0,NOTRADE
FUTCOM,BARLEYJPR,10/20/2021,BARLEY,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1903,0,MT,0,0,0,NOTRADE
FUTCOM,BARLEYJPR,11/18/2021,BARLEY,0,XX,JAIPUR,RS/QUINTAL,0,0,0,1908.5,0,MT,0,0,0,NOTRADE
FUTCOM,CASTOR,7/20/2021,CASTORSEEDNEW,0,XX,DEESA,Rs/Quintal,5422,5450,5422,5442,185,MT,10,100.36,665,7/19/2021
FUTCOM,CASTOR,8/20/2021,CASTORSEEDNEW,0,XX,DEESA,Rs/Quintal,5470,5508,5440,5464,8140,MT,854,4455.95,51440,7/19/2021
FUTCOM,CASTOR,9/17/2021,CASTORSEEDNEW,0,XX,DEESA,Rs/Quintal,5526,5556,5496,5518,510,MT,94,281.99,2550,7/19/2021
FUTCOM,CASTOR,10/18/2021,CASTORSEEDNEW,0,XX,DEESA,Rs/Quintal,0,0,0,5572,0,MT,0,0,0,NOTRADE
FUTCOM,CASTOR,11/17/2021,CASTORSEEDNEW,0,XX,DEESA,Rs/Quintal,0,0,0,5626,0,MT,0,0,0,NOTRADE
FUTCOM,CHANA,7/20/2021,CHANA,0,XX,BIKANER,RS/QUINTAL,4750,4800,4750,4764,880,MT,43,418.6,850,7/19/2021
FUTCOM,CHANA,8/20/2021,CHANA,0,XX,BIKANER,RS/QUINTAL,4851,4931,4822,4904,30030,MT,2229,14643.14,120270,7/19/2021
FUTCOM,CHANA,9/20/2021,CHANA,0,XX,BIKANER,RS/QUINTAL,4942,5025,4917,4993,4710,MT,366,2337.22,24890,7/19/2021
FUTCOM,CHANA,10/20/2021,CHANA,0,XX,BIKANER,RS/QUINTAL,5070,5090,5070,5080,80,MT,4,40.46,410,7/19/2021
FUTCOM,CHANA,11/18/2021,CHANA,0,XX,BIKANER,RS/QUINTAL,0,0,0,5167,0,MT,0,0,0,NOTRADE
FUTCOM,CHANA,12/20/2021,CHANA,0,XX,BIKANER,RS/QUINTAL,0,0,0,5254,0,MT,0,0,0,NOTRADE
FUTCOM,DHANIYA,7/20/2021,CORIANDER,0,XX,KOTA,RS/QUINTAL,6920,6920,6920,6920,70,MT,3,48.06,145,7/19/2021
FUTCOM,DHANIYA,8/20/2021,CORIANDER,0,XX,KOTA,RS/QUINTAL,6874,6998,6830,6976,1575,MT,295,1092.17,6710,7/19/2021
FUTCOM,DHANIYA,9/20/2021,CORIANDER,0,XX,KOTA,RS/QUINTAL,6900,7056,6892,7038,225,MT,40,157.59,110,7/19/2021
FUTCOM,DHANIYA,10/20/2021,CORIANDER,0,XX,KOTA,RS/QUINTAL,0,0,0,7100,0,MT,0,0,0,NOTRADE
FUTCOM,DHANIYA,11/18/2021,CORIANDER,0,XX,KOTA,RS/QUINTAL,0,0,0,7162,0,MT,0,0,0,NOTRADE
FUTCOM,COTTON,7/20/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,25910,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,10/20/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26150,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,11/18/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26230,0,LOT,0,0,0,NOTRADE
FUTCOM,COTTON,12/20/2021,COTTON29MM,0,XX,RAJKOT,RS/BALES,0,0,0,26310,0,LOT,0,0,0,NOTRADE
