Sr. No.,,Symbol,,Volatility Margin,Extreme Loss Margin,Additional Pre Expiry margin,Total Margin,Additional Margin(Long) %,Additional Margin(Short) %,Special Cash Margin (Long) %,Special Cash Margin (Short) %
,,AGRIDEX,,6,1,0,7,0,0,0,0
2,,AGRIDEX,,6,1,0,7,0,0,0,0
3,,AGRIDEX,,6,1,0,7,0,0,0,0
4,,AGRIDEX,,6.44,1,0,7.44,0,0,0,0
5,,BAJRA,,10,1,17.5,28.5,2,2,0,0
6,,BAJRA,,10,1,0,11,2,2,0,0
7,,BAJRA,,10,1,0,11,2,2,0,0
8,,BAJRA,,10,1,0,11,0,0,0,0
9,,BAJRA,,10,1,0,11,0,0,0,0
10,,BARLEYJPR,,8,1,17.5,26.5,0,0,0,0
11,,BARLEYJPR,,8,1,0,9,0,0,0,0
12,,BARLEYJPR,,8,1,0,9,0,0,0,0
13,,BARLEYJPR,,8,1,0,9,0,0,0,0
14,,BARLEYJPR,,8,1,0,9,0,0,0,0
15,,CASTOR,,12,1,17.5,30.5,0,0,0,0
16,,CASTOR,,12,1,0,13,0,0,0,0
17,,CASTOR,,12,1,0,13,0,0,0,0
18,,CASTOR,,12,1,0,13,0,0,0,0
19,,CASTOR,,12,1,0,13,2,2,0,0
20,,CHANA,,12,2.5,17.5,32,0,10,0,0
21,,CHANA,,12,2.5,0,14.5,0,10,0,0
22,,CHANA,,12,2.5,0,14.5,0,10,0,0
23,,CHANA,,12,2.5,0,14.5,0,10,0,0
24,,CHANA,,12,2.5,0,14.5,0,10,0,0
25,,CHANA,,12,2.5,0,14.5,2,12,0,0
26,,COCUDAKL,,12,2,17.5,31.5,0,0,0,0
27,,COCUDAKL,,12,2,0,14,0,0,0,0
28,,COCUDAKL,,12,2,0,14,2,2,0,0
29,,COCUDAKL,,12,2,0,14,0,0,0,0
30,,COCUDAKL,,12,2,0,14,0,0,0,0
31,,COTTON,,8,1,17.5,26.5,0,0,0,0
32,,COTTON,,8,1,0,9,0,0,0,0
33,,COTTON,,8,1,0,9,0,0,0,0
34,,COTTON,,8,1,0,9,0,0,0,0
35,,COTTON,,8,1,0,9,0,0,0,0
36,,COTTON,,8,1,0,9,0,0,0,0
37,,COTTON,,8,1,0,9,0,0,0,0
38,,CPO,,10,1,0,11,0,0,0,0
39,,CPO,,10,1,0,11,0,0,0,0
40,,CPO,,10,1,0,11,0,0,0,0
41,,CPO,,10,1,0,11,0,0,0,0
42,,CPO,,10,1,0,11,0,0,0,0
43,,DHANIYA,,12,1,17.5,30.5,0,0,0,0
44,,DHANIYA,,12,1,0,13,0,0,0,0
45,,DHANIYA,,12,1,0,13,0,0,0,0
46,,DHANIYA,,12,1,0,13,0,0,0,0
47,,DHANIYA,,12,1,0,13,0,0,0,0
48,,GUARGUM5,,12,1,17.5,30.5,2,2,0,0
49,,GUARGUM5,,12,1,0,13,2,2,0,0
50,,GUARGUM5,,12,1,0,13,2,2,0,0
51,,GUARGUM5,,12,1,0,13,0,0,0,0
52,,GUARGUM5,,12,1,0,13,0,0,0,0
53,,GUARGUM5,,12,1,0,13,0,0,0,0
